entry_price,entry_time,direction,trend_direction,trend_strength,trend_bos_aligned,ob_near,ob_distance,ob_type,ob_size,ob_age,fvg_near,fvg_count,fvg_nearest_distance,fvg_size,fvg_type,ema_aligned,ema_trend,rsi_value,rsi_state,liquidity_near,liquidity_count,mtf_aligned,volatility,atr_value,price_position,distance_to_high,distance_to_low,volume_spike,volume_ratio,confluence_score,confluence_count,session,days_since_loss,streak_type,potential_rr,outcome,pnl,pnl_percent,exit_reason,holding_periods
0.3215,1547510400000,"short","down",0.7130015552099542,1,1,0.07928460342146193,"bear",0.034864300626304905,100,1,4,0.004416796267496212,0.0247438140464885,"bear",1,"down",36.581082211257005,"neutral",1,28,1,0.06325705398800269,0.020337142857142866,0.24188790560471968,0.39968895800933124,0.12752721617418344,0,0.7169446599512829,1,6,"asian",0,"none",2,"LOSS",-126.51410797600535,-12.651410797600535,"SL",78
0.3257,1547596800000,"short","down",0.6014123426466055,1,1,0.06536690205710786,"bear",0.034864300626304905,100,1,5,0.017255142769419755,0.0247438140464885,"bear",1,"down",30.07746716066019,"neutral",1,28,1,0.060436861265845014,0.01968428571428572,0.2666666666666665,0.38163954559410507,0.13877801657967442,0,0.6659902687957147,1,6,"asian",0,"none",2,"LOSS",-120.87372253168996,-12.087372253168995,"SL",77
0.32489,1547683200000,"short","down",0.46588075964172265,1,1,0.06802302317707534,"bear",0.034864300626304905,100,1,5,0.014805010926775329,0.0247438140464885,"bear",1,"down",37.46949502534261,"neutral",1,28,1,0.05790971009968212,0.018814285714285724,0.2618879056047197,0.38508418233863767,0.13663085967558244,0,0.6839310596497298,1,6,"asian",0,"none",2,"LOSS",-115.81942019936426,-11.581942019936426,"SL",76
0.32036,1547769600000,"short","down",0.4359470595579949,1,1,0.08312523411162456,"bear",0.034864300626304905,100,1,4,0.0008740167311774332,0.0247438140464885,"bear",1,"down",36.786350426549184,"neutral",1,29,1,0.05766503754704533,0.01847357142857144,0.23516224188790533,0.4046697465351481,0.12442252465975763,0,0.49757067060162186,1,6,"asian",0,"none",2,"LOSS",-115.33007509409073,-11.533007509409073,"SL",75
0.3267,1547856000000,"short","down",0.3881848790939657,1,1,0.06210590756045311,"bear",0.034864300626304905,100,1,5,0.02026323844505667,0.0247438140464885,"bear",1,"down",36.800150051580246,"neutral",1,29,1,0.05620053347326077,0.018360714285714293,0.27256637168141573,0.3774104683195593,0.1414141414141413,0,0.6875549924368244,1,6,"asian",0,"none",2,"LOSS",-112.4010669465215,-11.24010669465215,"SL",74
0.3168,1547942400000,"short","down",0.47515782828282765,1,1,0.04738005050505058,"bear",0.08172335926018849,100,1,6,0.010353535353535193,0.0247438140464885,"bear",1,"down",33.316841480308724,"neutral",1,29,1,0.05765918109668112,0.01826642857142858,0.21415929203539824,0.42045454545454536,0.11458333333333331,0,0.6583658174819607,1,6,"asian",0,"none",2,"LOSS",-115.31836219336218,-11.531836219336219,"SL",72
0.31767,1548028800000,"short","down",0.4677180722133043,1,0,1,"none",0,0,1,5,0.00758648912393354,0.0247438140464885,"bear",1,"down",30.39906103286387,"neutral",1,29,1,0.05609819714078854,0.017820714285714297,0.21929203539823,0.4165643592407215,0.11700821607328353,0,0.48651158824273694,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-112.19639428157711,-11.219639428157711,"SL",71
0.31762,1548115200000,"short","down",0.517001448271527,1,0,1,"none",0,0,1,5,0.007745104212580952,0.0247438140464885,"bear",1,"down",30.62455003599713,"neutral",1,29,1,0.05624870690042911,0.017865714285714294,0.21899705014749257,0.41678735595995214,0.11686921478496312,0,0.8627636967507767,0.8333333333333334,5,"asian",0,"none",2,"LOSS",-112.49741380085818,-11.249741380085819,"SL",70
0.31415,1548201600000,"short","down",0.5229030717810024,1,1,0.039344262295081915,"bear",0.08172335926018849,100,1,7,0.01887633296196082,0.0247438140464885,"bear",1,"down",27.973856209150313,"oversold",1,29,1,0.05593551760987702,0.017572142857142866,0.19852507374631245,0.4324367340442465,0.10711443577908629,0,0.6356132450333144,1,6,"asian",0,"none",2,"LOSS",-111.87103521975406,-11.187103521975407,"SL",69
0.31593,1548288000000,"short","down",0.5372392618618124,1,1,0.044756749912955356,"bear",0.08172335926018849,100,1,7,0.013135821226220958,0.0247438140464885,"bear",1,"down",42.55077403777872,"neutral",1,29,1,0.042229065208839234,0.013341428571428579,0.20902654867256618,0.42436615706010833,0.1121450954325324,0,0.47243305442690564,1,6,"asian",0,"none",2,"LOSS",-84.45813041767852,-8.445813041767853,"SL",26
